"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"70",80,0,92.5,90,90,79,0,70,51.5,12,91.6666666666667,88.8888888888889,0,100,75.2,68.85,79,92.6829268292683,72.6744186046512,93.5185185185185,100,84.4329677947942,"A"
"71",0,10,47.5,0,90,0,56,40,75,7,54.1666666666667,27.7777777777778,30,80,43.2,31.5,53.0833333333333,43.9024390243903,24.4186046511628,54.7222222222222,100,49.0184723010021,"D"
"72",85,85,92.5,60,95,98,100,80,100,12,91.6666666666667,50,75,95,47.2,57.6,91.9375,50,58.1395348837209,87.2222222222222,100,75.1994670542636,"B+"
"73",70,89,70,80,85,96,0,90,0,11,75,44.4444444444444,65,0,64,54.9,82.8571428571429,75.609756097561,54.6511627906977,61.4814814814815,100,72.8641069965517,"C-"
"74",85,97.5,100,85,75,97,97,95,85,12,25,44.4444444444444,35,65,48.8,36.45,92.6875,52.4390243902439,30.8139534883721,48.1481481481482,100,63.219765472364,"F"
"75",94.5,100,85,100,100,98,90,100,96,12,75,61.1111111111111,80,80,78.4,72,97.3125,97.5609756097561,76.7441860465116,78.3333333333333,100,89.6419916335791,"C+"
"76",62.5,65,32.5,27.5,0,79,79,75,94,12,91.6666666666667,33.3333333333333,25,55,44,54.9,64.3125,45.1219512195122,54.6511627906977,60,100,60.9809309415769,"C-"
"77",85,70,85,95,100,88,88,100,85,12,75,100,90,100,47.2,65.7,90.75,50,68.6046511627907,96.6666666666667,100,78.8761627906977,"A+"
"78",92.5,100,100,100,100,100,100,95,100,12,91.6666666666667,88.8888888888889,80,80,59.2,71.1,99.375,68.2926829268293,75.5813953488372,90.2777777777778,100,85.9080520892418,"A"
"79",92.5,100,100,100,95,90,100,95,85,12,100,88.8888888888889,80,80,76,74.25,96.5625,93.9024390243902,79.6511627906977,94.4444444444444,100,91.8286951692191,"A"
"80",80,75,90,90,100,93,98,90,85,12,91.6666666666667,88.8888888888889,75,100,69.6,76.5,90.75,84.1463414634146,82.5581395348837,93.5185185185185,100,88.7215809541816,"A"
"81",92.5,82.5,87.5,90,100,82,82,0,85,9,50,44.4444444444444,0,25,45.6,52.2,87.6875,47.5609756097561,51.1627906976744,39.8148148148148,100,64.5813650185921,"F"
"82",76,80,100,95,90,93,89,87.5,80,12,100,66.6666666666667,70,85,55.2,66.6,89.3125,62.1951219512195,69.7674418604651,85,100,79.4246348553602,"B"
"83",82.5,85,92.5,95,90,100,100,100,80,12,66.6666666666667,55.5555555555556,85,0,62.4,47.25,93.125,73.1707317073171,44.7674418604651,69.0740740740741,100,74.1246179176908,"C-"
"84",77.5,62.5,97.5,80,0,83,100,75,70,11,66.6666666666667,44.4444444444444,70,80,67.2,69.3,80.6875,80.4878048780488,73.2558139534884,72.2222222222222,100,79.4510977973152,"C"
"85",77.5,100,100,100,100,99,92,100,98,12,91.6666666666667,100,90,100,76,85.5,98.625,93.9024390243902,94.1860465116279,97.2222222222222,100,96.4978327661184,"A+"
"86",87.5,85,92.5,80,100,99,0,100,75,12,100,100,60,100,75.2,70.2,89.875,92.6829268292683,74.4186046511628,100,100,89.1037365286444,NA
"87",67.5,95,82.5,95,60,79,89,100,85,12,83.3333333333333,83.3333333333333,67.5,95,76.8,81.9,86.625,95.1219512195122,89.5348837209302,87.2222222222222,100,90.4789445074683,"B+"
"88",30,0,0,100,85,91,77,85,85,12,25,55.5555555555556,25,30,38.4,38.7,79,36.5853658536585,33.7209302325581,42.7777777777778,100,55.8639723955379,"F"
"89",92.5,100,100,0,100,100,0,100,100,12,91.6666666666667,100,100,100,64,78.3,98.9285714285714,75.609756097561,84.8837209302326,100,100,91.0214528806418,NA
"90",82.5,0,95,100,95,99,100,100,100,9,75,72.2222222222222,80,95,70.4,75.6,96.4375,85.3658536585366,81.3953488372093,83.3333333333333,100,88.8532579410096,"B"
"91",77.5,97.5,100,70,0,96,100,80,75,12,66.6666666666667,11.1111111111111,45,75,48.8,49.5,87,52.4390243902439,47.6744186046512,62.2222222222222,100,67.8397428625449,"C-"
"92",80,75,0,67.5,77.5,87,100,82.5,90,11,83.3333333333333,83.3333333333333,90,90,57.6,72.9,82.4375,65.8536585365854,77.906976744186,90,100,80.8787258933636,"A"
"93",0,85,80,75,100,78,0,90,0,12,91.6666666666667,38.8888888888889,75,0,58.4,37.35,84.6666666666667,67.0731707317073,31.9767441860465,68.5185185185185,100,67.0865979706309,"C-"
"94",87.5,85,92.5,85,95,91,92,90,90,12,91.6666666666667,50,0,85,64,65.7,91.1428571428571,75.609756097561,68.6046511627907,75.5555555555556,100,80.9493044864004,"C"
"95",73.5,0,92.5,90,80,0,100,100,75,12,83.3333333333333,72.2222222222222,65,95,70.4,65.7,87.2857142857143,85.3658536585366,68.6046511627907,83.5185185185185,100,82.9378255858971,"B"
"96",79,95,92.5,65,72.5,91,100,0,76,11,33.3333333333333,77.7777777777778,95,95,59.2,75.6,83.875,68.2926829268293,81.3953488372093,89.2592592592593,100,82.558762683557,"A-"
"97",0,0,0,42.5,0,0,0,0,0,10,58.3333333333333,0,0,0,42.4,35.55,42.5,42.6829268292683,29.6511627906977,58.3333333333333,100,47.4493760635281,"D"
"98",100,97.5,100,90,100,99,100,100,100,12,100,77.7777777777778,90,95,69.6,84.6,99.5625,84.1463414634146,93.0232558139535,95,100,94.2038322461713,"A+"
"99",92.5,95,100,0,100,93,90,85,100,12,83.3333333333333,100,70,80,65.6,80.55,94.4375,78.0487804878049,87.7906976744186,87.7777777777778,100,89.0553471828323,"B+"
"100",96,97.5,100,0,100,89,97,100,99,12,100,66.6666666666667,80,95,73.6,78.3,97.3125,90.2439024390244,84.8837209302326,91.6666666666667,100,92.213460720363,"A"
"101",45,77.5,67.5,70,90,71,89,90,85,12,33.3333333333333,72.2222222222222,47.5,70,57.6,63.9,80,65.8536585365854,66.2790697674419,63.2407407407407,100,73.2266102602887,"C-"
"102",0,85,85,67.5,90,88,96,75,95,12,58.3333333333333,66.6666666666667,50,0,48.8,40.95,85.1875,52.4390243902439,36.6279069767442,58.3333333333333,100,63.9510316222348,"D"
"103",85,92.5,100,100,95,90,100,97.5,100,12,100,77.7777777777778,75,60,62.4,61.2,96.875,73.1707317073171,62.7906976744186,84.2592592592593,100,82.033209648957,"B"
"104",82.5,70,100,65,97,71,78,85,85,11,75,38.8888888888889,55,80,70.4,55.8,83.5625,85.3658536585366,55.8139534883721,70,100,76.5954091038003,"C"
"105",92.5,92.5,100,80,95,97,97,95,80,12,83.3333333333333,55.5555555555556,75,90,57.6,54.9,95.5714285714286,65.8536585365854,54.6511627906977,82.7777777777778,100,77.9216176430867,"B"
"106",55,85,100,100,60,100,80,90,90,12,91.6666666666667,77.7777777777778,85,100,71.2,76.5,88.125,86.5853658536585,82.5581395348837,92.2222222222222,100,88.227441387786,"A"
"107",92.5,77.5,92.5,100,100,96,89,97.5,99,12,83.3333333333333,72.2222222222222,80,100,58.4,71.55,95.8125,67.0731707317073,76.1627906976744,87.7777777777778,100,84.3657484874267,"B+"
"108",62.5,97.5,82.5,67.5,90,98,100,80,100,12,75,72.2222222222222,57.5,75,55.2,50.4,89.4375,62.1951219512195,48.8372093023256,74.0740740740741,100,72.5906878269364,"C"
"109",100,100,92.5,100,100,0,94,85,0,10,41.6666666666667,83.3333333333333,70,0,71.2,75.6,95.9285714285714,86.5853658536585,81.3953488372093,65,100,86.1944818086055,"C-"
"110",87.5,92.5,100,90,87,96,94,95,70,12,95.8333333333333,83.3333333333333,70,15,64.8,42.3,92.75,76.8292682926829,38.3720930232558,83.0555555555556,100,75.2422102476839,"B"
"111",92.5,100,100,100,100,99,100,100,97,12,100,100,100,100,64.8,88.2,99.5,76.8292682926829,97.6744186046512,100,100,94.6344583096994,NA
"112",95,96,100,100,100,97,30,95,98,12,91.6666666666667,44.4444444444444,80,95,44,63.9,97.625,45.1219512195122,66.2790697674419,88.8888888888889,100,78.2149910190962,"A-"
"113",77.5,95,97.5,80,100,94,99,100,85,12,83.3333333333333,88.8888888888889,60,100,60.8,72.9,93.8125,70.7317073170732,77.906976744186,90.7407407407407,100,85.3779467605723,"A"
"114",88.5,97,100,90,100,99,97,100,85,12,66.6666666666667,88.8888888888889,95,65,57.6,72.9,96.4375,65.8536585365854,77.906976744186,83.5185185185185,100,84.1065036711414,"B"
"115",72.5,62.5,100,99,100,0,0,100,99,10,91.6666666666667,83.3333333333333,0,85,62.4,78.75,90.4285714285714,73.1707317073171,85.4651162790698,86.6666666666667,100,86.1289968398023,"B+"
"116",87,100,92.5,80,100,89,50,80,98,12,83.3333333333333,0,60,85,66.4,82.8,90.8125,79.2682926829269,90.6976744186046,76.1111111111111,100,87.1884938079032,"C"
"117",75,100,100,90,100,95,97,95,85,12,91.6666666666667,66.6666666666667,65,95,62.4,60.3,95.25,73.1707317073171,61.6279069767442,84.4444444444444,100,81.2827897523161,"B"
"118",92.5,85,85,0,95,99,81,90,75,12,91.6666666666667,94.4444444444444,45,90,52.8,75.15,87.8125,58.5365853658537,80.8139534883721,92.037037037037,100,82.0601110008193,"A"
"119",84,100,87.5,70,100,97,100,90,100,12,83.3333333333333,61.1111111111111,95,80,42.4,55.35,94.8125,42.6829268292683,55.2325581395349,86.1111111111111,100,73.705141567404,"B+"
"120",77.5,95,95,95,90,89,99,90,85,12,100,77.7777777777778,90,100,71.2,87.3,92.25,86.5853658536585,96.5116279069767,96.6666666666667,100,93.6199801474759,"A+"
"121",62.5,90,52.4,90,54,75,25,0,60,11,50,11.1111111111111,0,5,21.6,23.4,63.6125,10.9756097560976,13.953488372093,22.037037037037,100,38.0727995997983,"F"
"122",80,85,85,90,72,95,92,100,60,12,79.1666666666667,72.2222222222222,55,90,65.6,65.7,87.375,78.0487804878049,68.6046511627907,80.462962962963,100,81.0428633327031,"B-"
"123",0,62.5,10,55,66,0,0,60,30,7,75,0,15,40,32.8,29.25,47.25,28.0487804878049,21.5116279069767,43.3333333333333,100,41.6626630743052,"F"
"124",87.5,85,100,100,95,90,100,90,80,12,100,83.3333333333333,65,95,49.6,62.1,93.4375,53.6585365853659,63.953488372093,92.7777777777778,100,78.6679960767631,"A"
"125",77.5,95,75,100,100,90,97.5,95,100,12,100,88.8888888888889,95,85,56,73.8,94.375,63.4146341463415,79.0697674418605,94.6296296296296,100,84.9573131341779,"A"
"126",92.5,100,100,100,100,93,88,100,80,12,66.6666666666667,27.7777777777778,75,90,64.8,69.75,96.6875,76.8292682926829,73.8372093023256,77.2222222222222,100,84.4147393174513,"C"
"127",88.5,100,100,100,100,99,100,100,100,12,100,100,85,90,68,77.4,99.875,81.7073170731707,83.7209302325581,96.6666666666667,100,91.7341959727737,"A+"
"128",50,100,97.5,75,76.25,94,77,93.5,75,12,91.6666666666667,100,90,100,70.4,76.5,86.03125,85.3658536585366,82.5581395348837,97.2222222222222,100,88.1054139487616,"A+"
"129",80,100,77.5,77.5,95,90,95,80,0,9,66.6666666666667,77.7777777777778,67.5,0,76,58.95,86.875,93.9024390243902,59.8837209302326,70.6481481481482,100,80.4111402596584,"C"
"130",77.5,90,100,100,90,95,97,100,100,12,75,77.7777777777778,80,90,64.8,59.85,96.5,76.8292682926829,61.046511627907,82.5925925925926,100,81.9663704544022,"B"
"131",86,97.5,100,90,100,98,97,100,100,12,83.3333333333333,100,90,100,77.6,80.1,97.8125,96.3414634146341,87.2093023255814,96.6666666666667,100,94.9143682643222,"A+"
"132",100,100,97.5,100,100,100,100,100,100,12,100,100,100,100,80,85.5,100,100,94.1860465116279,100,100,98.546511627907,NA
"133",95,85,100,100,100,93,100,90,100,12,100,100,90,100,72,84.6,97.25,87.8048780487805,93.0232558139535,100,100,94.9917895632445,NA
"134",100,99,100,90,100,99,100,95,99,12,100,88.8888888888889,95,95,72,78.3,99,87.8048780487805,84.8837209302326,96.6666666666667,100,92.9819058423142,"A+"
"135",60,100,92.5,100,100,94,100,80,100,12,75,50,45,65,62.4,75.6,95.8125,73.1707317073171,81.3953488372093,63.3333333333333,100,83.2267335507657,"C-"
"136",87.5,92.5,100,80,95,89,95,95,90,12,83.3333333333333,77.7777777777778,65,70,55.2,79.2,93,62.1951219512195,86.046511627907,77.037037037037,100,83.4062078527762,"C"
"137",99,83,92.5,98,100,0,0,0,0,6,33.3333333333333,16.6666666666667,0,0,29.6,12.6,94.5,23.1707317073171,0,25,100,46.7341463414634,"F"
"138",100,100,100,100,100,100,0,100,96,11,75,77.7777777777778,55,80,64.8,58.5,99.5,76.8292682926829,59.3023255813953,77.5925925925926,100,81.6803239427743,"C+"
"139",82.5,100,93.5,100,100,95,80,90,100,12,66.6666666666667,88.8888888888889,70,85,63.2,63.45,95.125,74.390243902439,65.6976744186046,81.2962962962963,100,82.0344118295834,"B-"
"140",52.5,100,82.5,90,100,94,100,75,85,12,91.6666666666667,50,42.5,85,66.8,74.25,90.8125,79.8780487804878,79.6511627906977,75.5555555555556,100,84.4654837871053,"C"
"141",60,70,85,75,0,0,0,0,0,3,66.6666666666667,77.7777777777778,0,95,67.2,65.7,72.5,80.4878048780488,68.6046511627907,79.8148148148148,100,76.9709459885296,"B-"
"142",90,0,70,90,0,44,0,40,55,10,91.6666666666667,77.7777777777778,55,65,43.2,49.5,64.8333333333333,43.9024390243903,47.6744186046512,78.1481481481482,100,61.8713146782631,"C+"
"143",87.5,100,100,100,100,100,100,100,80,12,100,100,65,100,80,84.6,98.4375,100,93.0232558139535,100,100,97.7870639534884,NA
"144",92.5,100,100,70,100,100,92,100,80,12,91.6666666666667,94.4444444444444,85,85,60.8,50.85,95.5625,70.7317073170732,49.4186046511628,93.0555555555556,100,79.1280759595387,"A"
"145",87.5,60,100,100,95,92,79,95,100,12,58.3333333333333,66.6666666666667,70,95,60,76.5,93.5625,69.5121951219512,82.5581395348837,77.2222222222222,100,84.1940572414445,"C"
"146",85,95,100,100,95,100,89,97.5,85,12,91.6666666666667,66.6666666666667,82.5,100,72,79.2,96.6428571428571,87.8048780487805,86.046511627907,91.3888888888889,100,91.7737939929233,"A"
"147",83.5,100,0,90,70,94,76,100,100,12,100,61.1111111111111,90,95,60,67.05,89.1875,69.5121951219512,70.3488372093023,95,100,82.4958983267158,"A+"
"148",85,100,92.5,100,95,100,90,65,100,12,66.6666666666667,100,75,85,66.4,79.2,95.3125,79.2682926829269,86.046511627907,86.6666666666667,100,88.9590364435621,"B+"
"149",92.5,100,92.5,70,100,82,86,60,100,12,66.6666666666667,66.6666666666667,40,45,69.6,63.9,90.375,84.1463414634146,66.2790697674419,59.4444444444444,100,79.4282024012101,"D"
"150",92.5,97.5,95,100,91.25,100,94,100,95,12,83.3333333333333,77.7777777777778,40,95,62.4,66.6,96.75,73.1707317073171,69.7674418604651,85.3703703703704,100,83.9065623621352,"B"
"151",86,100,100,90,100,92.5,0,90,100,12,58.3333333333333,33.3333333333333,85,90,32.8,66.6,94.8125,28.0487804878049,69.7674418604651,77.7777777777778,100,73.1620332293439,"C+"
"152",92.5,100,0,90,100,100,89,100,100,12,83.3333333333333,72.2222222222222,80,95,70.4,77.4,96.4375,85.3658536585366,83.7209302325581,86.1111111111111,100,89.8513199565135,"B+"
"153",82.5,80,95,90,100,98,92,100,85,11,91.6666666666667,88.8888888888889,60,90,68,72.9,92.8125,81.7073170731707,77.906976744186,90.1851851851852,100,87.1897353784584,"A"
"154",85,42.5,0,0,0,66,0,0,80,6,83.3333333333333,66.6666666666667,0,70,52,43.2,68.375,57.3170731707317,39.5348837209302,73.3333333333333,100,62.8596355643789,"C"
"155",77.5,100,97.5,65,72,81,97,100,75,10,79.1666666666667,50,0,85,64.8,62.1,87.5,76.8292682926829,63.953488372093,71.3888888888889,100,78.3125590848932,"C"
"156",70,80,90,100,90,0,90,90,85,12,91.6666666666667,0,75,90,36,46.8,86.875,32.9268292682927,44.1860465116279,85.5555555555556,100,66.5277108148989,"B"
"157",77.5,92.5,95,90,0,95,94,100,100,10,66.6666666666667,88.8888888888889,70,45,66.4,70.2,93,79.2682926829269,74.4186046511628,75.1851851851852,100,83.6360874771538,"C"
"158",92.5,97.5,100,100,100,99,97,100,100,12,91.6666666666667,61.1111111111111,85,70,57.6,72.9,99.1875,65.8536585365854,77.906976744186,82.2222222222222,100,84.7370592266969,"B"
"159",89.5,100,97.5,80,96.25,96,51,85,100,12,100,66.6666666666667,75,85,69.6,74.7,93.03125,84.1463414634146,80.2325581395349,86.6666666666667,100,87.7967828275666,"B+"
"160",89,100,55,98,100,83,100,0,97,9,75,61.1111111111111,0,100,70.4,69.3,90.25,85.3658536585366,73.2558139534884,78.7037037037037,100,84.267679775635,"C+"
"161",65,82.5,87.5,85,95,95,100,90,80,12,91.6666666666667,77.7777777777778,75,95,70.4,78.3,89.375,85.3658536585366,84.8837209302326,88.1481481481482,100,88.3288231864877,"A-"
"162",92.5,100,100,70,100,100,91,80,90,12,100,66.6666666666667,60,90,68.8,73.35,94.1875,82.9268292682927,78.4883720930232,85.5555555555556,100,87.2970422102477,"B"
"163",92.5,97.5,100,0,100,99,94,90,100,12,91.6666666666667,88.8888888888889,80,95,71.2,79.2,96.625,86.5853658536585,86.046511627907,91.8518518518518,100,91.5939788554862,"A"
"164",92.5,82,92.5,75,100,99,76,90,89,12,100,83.3333333333333,80,40,67.2,78.3,90.125,80.4878048780488,84.8837209302326,87.7777777777778,100,87.5226578748346,"B+"
"165",70,78,95,0,90,97,100,80,100,11,75,27.7777777777778,50,55,64.8,63.9,88.75,76.8292682926829,66.2790697674419,60,100,77.560621100397,"C-"
"166",80,57.5,100,60,80,78,70,95,94,12,83.3333333333333,66.6666666666667,70,90,68.8,64.35,82.125,82.9268292682927,66.8604651162791,81.1111111111111,100,80.104648799395,"B-"
"167",92.5,100,92.5,95,100,97,97,100,85,12,58.3333333333333,50,52.5,60,68,63,96.75,81.7073170731707,65.1162790697674,56.9444444444444,100,80.1871998487427,"D"
"168",82.5,100,100,100,100,98,71,100,91,12,91.6666666666667,83.3333333333333,80,95,69.6,80.1,96.4375,84.1463414634146,87.2093023255814,90,100,91.0628438740783,"A"
"169",80,0,95,0,55,0,0,0,75,7,83.3333333333333,0,0,65,53.6,60.75,76.25,59.7560975609756,62.2093023255814,74.1666666666667,100,71.5035450935905,"C"
"170",42.5,52.5,90,72.5,100,95,88,80,85,12,83.3333333333333,88.8888888888889,42.5,80,65.6,63,82.875,78.0487804878049,65.1162790697674,84.0740740740741,100,79.3624369761139,"B"
"171",80,92.5,100,90,100,94,85,90,85,11,91.6666666666667,88.8888888888889,75,100,66.4,57.15,92.0625,79.2682926829269,57.5581395348837,93.5185185185185,100,81.8897211980841,"A"
"172",70,100,92.5,82.5,100,99,97,90,85,12,75,83.3333333333333,80,90,69.6,80.1,93.25,84.1463414634146,87.2093023255814,84.4444444444444,100,89.2732605407449,"B"
"173",90,100,100,100,95,99,100,100,100,12,91.6666666666667,100,80,90,70.4,74.7,99.25,85.3658536585366,80.2325581395349,93.8888888888889,100,90.9896435999244,"A"
"174",70,92.5,90,85,95,99,88,90,90,12,91.6666666666667,88.8888888888889,75,90,69.6,65.7,91.1875,84.1463414634146,68.6046511627907,90.1851851851852,100,84.8644588611584,"A"
"175",100,100,85,90,85,89,92,95,95,12,100,94.4444444444444,80,100,79.2,81.9,94.4285714285714,98.7804878048781,89.5348837209302,98.1481481481482,100,95.1906121420018,"A+"
"176",100,100,92.5,80,100,98,100,80,100,10,100,0,90,0,70.4,82.8,98.6428571428571,85.3658536585366,90.6976744186046,95,100,93.5904464792156,"A+"
"177",40,0,82.5,0,70,0,52,0,98,12,58.3333333333333,61.1111111111111,0,75,46.4,36,68.5,48.780487804878,30.2325581395349,64.8148148148148,100,57.5864593180816,"C-"
"178",92.5,100,92.5,90,100,96,85,90,85,12,83.3333333333333,88.8888888888889,80,75,60,70.65,94.4285714285714,69.5121951219512,75,84.0740740740741,100,83.5921215640728,"B"
"179",92.5,85,100,85,95,100,92,90,75,12,91.6666666666667,61.1111111111111,80,100,71.2,74.7,92.4375,86.5853658536585,80.2325581395349,90.5555555555556,100,88.6897960389488,"A"
"180",87,100,100,100,100,93,91,80,98,10,83.3333333333333,88.8888888888889,50,85,48,54,96.125,51.219512195122,53.4883720930233,85.7407407407407,100,75.3146065733913,"B"
"181",75,97.5,67.5,80,95,90,58,100,85,12,100,77.7777777777778,67.5,85,57.6,56.7,86.25,65.8536585365854,56.9767441860465,87.5925925925926,100,76.4288066427176,"B+"
"182",100,100,92.5,90,95,95,100,100,80,12,83.3333333333333,100,80,100,72,80.1,96.5625,87.8048780487805,87.2093023255814,94.4444444444444,100,92.4987178578181,"A"
"183",85,85,85,85,85,72,85,65,80,6,75,38.8888888888889,60,70,48.8,54.9,82.75,52.4390243902439,54.6511627906977,68.3333333333333,100,69.2255955757232,"C-"
"184",92.5,70,90,75,100,100,84,100,75,12,100,88.8888888888889,85,95,69.6,66.6,89.5625,84.1463414634146,69.7674418604651,94.6296296296296,100,85.3343232022437,"A"
"185",85,99,92.5,0,0,0,0,0,0,3,41.6666666666667,0,0,0,75.2,66.6,92.1666666666667,92.6829268292683,69.7674418604651,41.6666666666667,100,79.8784458309699,"F"
"186",80,100,100,0,90,0,100,70,0,10,83.3333333333333,0,30,70,64,55.35,90,75.609756097561,55.2325581395349,61.1111111111111,100,75.0967574210626,"C-"
"187",65,100,55,90,100,86.5,100,85,85,9,83.3333333333333,88.8888888888889,52.5,90,68,60.3,88.9375,81.7073170731707,61.6279069767442,87.4074074074074,100,81.5408012699313,"B+"
"188",60,100,92.5,100,95,71,90,92.5,85,10,91.6666666666667,88.8888888888889,52.5,100,72,74.25,90.75,87.8048780487805,79.6511627906977,93.5185185185185,100,88.7265440852083,"A"
"189",75,100,100,100,100,95,100,100,100,12,100,88.8888888888889,82.5,100,66.4,76.05,99.375,79.2682926829269,81.9767441860465,96.2962962962963,100,90.6047890275414,"A+"
"190",67.5,80,77.5,47.5,100,80,76,77.5,80,12,83.3333333333333,77.7777777777778,75,80,44,64.35,79.8125,45.1219512195122,66.8604651162791,80.3703703703704,100,71.7388120785278,"B-"
"191",73.5,70,92.5,80,100,97,90,100,96,12,66.6666666666667,61.1111111111111,75,85,65.6,73.8,91.125,78.0487804878049,79.0697674418605,75.5555555555556,100,84.0480312913594,"C"
"192",75,90,95,70,85,85,0,62.5,100,12,83.3333333333333,88.8888888888889,40,80,59.2,68.4,82.8125,68.2926829268293,72.0930232558139,84.0740740740741,100,79.1366535104304,"B"
"193",70,97.5,100,70,100,100,97,95,85,12,91.6666666666667,50,80,70,61.2,64.8,96.3571428571429,71.3414634146341,67.4418604651163,80.5555555555556,100,82.1192339896821,"B-"
"194",82.5,100,100,100,97,100,100,90,75,12,91.6666666666667,72.2222222222222,65,80,62.4,57.15,96.1875,73.1707317073171,57.5581395348837,81.2962962962963,100,80.0743756696288,"B-"
"195",91.5,97.5,98,90,92,95,62,95,90,12,66.6666666666667,44.4444444444444,90,90,64,65.25,93.625,75.609756097561,68.0232558139535,82.2222222222222,100,82.5485985063339,"B"
"196",100,72.5,100,100,100,99,97,100,100,12,66.6666666666667,100,85,50,66.4,67.5,99.5,79.2682926829269,70.9302325581395,83.8888888888889,100,86.0195500094536,"B"
"197",95,100,100,100,100,89,98,85,100,12,91.6666666666667,66.6666666666667,60,80,52.8,63.9,97.75,58.5365853658537,66.2790697674419,79.4444444444444,100,79.5187511816979,"C+"
"198",62.5,0,0,0,65,76,71,90,97.5,9,0,44.4444444444444,55,100,68,34.2,77,81.7073170731707,27.906976744186,66.4814814814815,100,66.3904298229029,"C-"
"199",52.5,55,85,67.5,90,78,92,80,80,12,50,72.2222222222222,0,85,52,54.45,78.4375,57.3170731707317,54.0697674418605,69.0740740740741,100,68.8732176057226,"C-"
"200",92.5,97.5,0,85,90,76,81,90,80,12,91.6666666666667,50,60,75,69.6,78.3,86.5,84.1463414634146,84.8837209302326,75.5555555555556,100,85.3335318585744,"C"
"201",100,100,92.5,90,100,99,90,95,100,12,100,100,85,90,70.4,80.1,98.0714285714286,85.3658536585366,87.2093023255814,96.6666666666667,100,92.7969248845312,"A+"
"202",82,100,87.5,90,100,96,100,80,95,11,75,72.2222222222222,55,75,55.2,57.6,93.8125,62.1951219512195,58.1395348837209,74.0740740740741,100,76.2287692222853,"C"
"203",72.5,95,100,80,100,76,100,90,70,12,91.6666666666667,100,100,100,68.8,81,89.1875,82.9268292682927,88.3720930232558,100,100,90.4346391094725,NA
"204",82.5,85,95,90,100,95,87,85,85,12,91.6666666666667,88.8888888888889,70,100,59.2,71.1,90.25,68.2926829268293,75.5813953488372,93.5185185185185,100,83.6566632003529,"A"
"205",89.5,100,100,70,100,0,97,100,98,10,75,72.2222222222222,70,75,56,56.7,94.3125,63.4146341463415,56.9767441860465,74.0740740740741,100,76.331973986891,"C"
"206",95,75,100,100,100,99,85,85,100,12,50,55.5555555555556,50,95,60.8,51.3,95.5,70.7317073170732,50,75.2777777777778,100,76.5880081300813,"C"
"207",92.5,100,100,100,100,100,100,100,100,12,66.6666666666667,61.1111111111111,80,90,66.4,66.6,100,79.2682926829269,69.7674418604651,78.8888888888889,100,85.128852335035,"C+"
"208",92.5,0,92.5,95,100,95,0,0,80,9,83.3333333333333,0,35,60,55.2,41.4,92.5,62.1951219512195,37.2093023255814,59.4444444444444,100,68.4080166383059,"D"
"209",67,0,47.5,90,100,59,59,80,98,12,91.6666666666667,88.8888888888889,85,90,63.2,70.65,75.0625,74.390243902439,75,90.1851851851852,100,79.6745765582656,"A"
"210",90,90,90,90,0,0,0,0,0,6,50,0,35,0,66.24,12.6,90,79.0243902439024,0,42.5,100,59.1798780487805,"F"
"211",90,80,80,60,71.25,95,95,100,90,12,66.6666666666667,77.7777777777778,65,75,63.2,61.65,87.65625,74.390243902439,63.3720930232558,73.1481481481482,100,77.990169258524,"C"
"212",0,0,82.5,75,90,0,87,0,80,10,75,0,50,90,30.4,27,82.9,24.390243902439,18.6046511627907,71.6666666666667,100,55.1492115711855,"C"
"213",77.5,100,92.5,65,90,78,97,95,80,12,70.8333333333333,55.5555555555556,85,90,40.8,65.7,88.75,40.2439024390244,68.6046511627907,81.9444444444444,100,74.1166099451692,"B-"
"214",90,77.5,100,90,100,83,100,100,100,12,50,50,80,35,54.4,58.05,95.375,60.9756097560976,58.7209302325581,60,100,74.487854509359,"C-"
"215",85,100,100,95,100,96,88,90,85,12,91.6666666666667,100,70,85,68,73.35,95.5714285714286,81.7073170731707,78.4883720930232,92.2222222222222,100,88.4683183426519,"A"
"216",100,100,100,90,94,98,97,85,91,12,83.3333333333333,77.7777777777778,55,80,70.4,65.7,96.25,85.3658536585366,68.6046511627907,80.3703703703704,100,85.1548890779605,"B-"
"217",75,85,92.5,55,51,68,76,80,80,12,66.6666666666667,50,50,85,68.8,63,76.4375,82.9268292682927,65.1162790697674,75.8333333333333,100,77.1706856211004,"C"
"218",88.5,0,0,100,85,99,90,85,79,12,91.6666666666667,88.8888888888889,65,95,68.8,69.3,89.5,82.9268292682927,73.2558139534884,91.8518518518518,100,85.5270971198084,"A"
"219",77.5,100,92.5,90,95,97,100,90,0,11,100,66.6666666666667,85,95,61.6,81.9,92.75,71.9512195121951,89.5348837209302,93.3333333333333,100,88.5989648326716,"A"
"220",72.5,100,100,95,100,83,88,60,85,12,91.6666666666667,72.2222222222222,75,90,71.2,74.7,90.4375,86.5853658536585,80.2325581395349,85.5555555555556,100,87.3397960389488,"B"
"221",55,92.5,92.5,97.5,75,77,100,85,85,12,41.6666666666667,77.7777777777778,52.5,95,60.8,70.65,88.0625,70.7317073170732,75,75.0925925925926,100,80.5789803523035,"C"
