"","HW1","HW2","HW3","HW4","HW5","HW6","HW7","HW8","HW9","ATT","QZ1","QZ2","QZ3","QZ4","EX1","EX2","Homework","Test1","Test2","Quiz","Lab","Overall","Grade"
"294",73.5,85,95,90,99,88,97,90,100,12,50,77.7777777777778,45,70,75.2,64.8,93,92.6829268292683,67.4418604651163,65.9259259259259,100,83.1859393710216,"C-"
"295",92.5,100,100,100,100,100,92,0,95,12,91.6666666666667,94.4444444444444,75,100,78.4,80.1,97.4375,97.5609756097561,87.2093023255814,95.3703703703704,100,94.8513262589021,"A+"
"296",92.5,92.5,97.5,80,97,100,89,90,60,11,87.5,66.6666666666667,30,70,51.2,44.1,92.3125,56.0975609756098,40.6976744186046,74.7222222222222,100,70.2960141331065,"C"
"297",52.5,47.5,97.5,75,65,81,79,90,65,10,75,44.4444444444444,40,75,39.2,60.3,75.625,37.8048780487805,61.6279069767442,64.8148148148148,100,65.3776745761644,"C-"
"298",77.5,92.5,77.5,90,93,90,90,55,65,11,66.6666666666667,44.4444444444444,30,50,64,49.05,84.4375,75.609756097561,47.0930232558139,53.7037037037037,100,70.2820125890212,"D"
"299",72.5,65,90,70,75,84,65,80,85,11,83.3333333333333,61.1111111111111,80,95,64,71.1,79.5,75.609756097561,75.5813953488372,86.1111111111111,100,80.7839667233881,"B+"
"300",78.5,0,72.5,90,95,87,97,100,100,11,50,77.7777777777778,85,65,56,60.75,90,63.4146341463415,62.2093023255814,75.9259259259259,100,76.6241412995525,"C"
"301",80,100,95,70,87.5,90,96,100,85,12,91.6666666666667,61.1111111111111,55,95,61.6,80.55,91.6875,71.9512195121951,87.7906976744186,82.5925925925926,100,86.2330572099326,"B"
"302",62.5,0,77.5,90,100,98,100,90,100,12,100,94.4444444444444,35,90,76,74.25,89.75,93.9024390243902,79.6511627906977,94.8148148148148,100,89.8405007247747,"A"
"303",94,100,100,90,100,99,100,95,95,12,91.6666666666667,77.7777777777778,80,90,56.8,65.25,97.875,64.6341463414634,68.0232558139535,87.2222222222222,100,82.3784765551144,"B+"
"304",66,85,90,90,100,0,65,95,100,12,83.3333333333333,22.2222222222222,75,65,42.4,36.9,86.375,42.6829268292683,31.3953488372093,74.4444444444444,100,63.4645892418226,"C"
"305",77.5,85,85,60,100,100,86,100,80,12,75,83.3333333333333,75,65,44,60.3,89.1875,45.1219512195122,61.6279069767442,77.7777777777778,100,72.8542836547551,"C+"
"306",87.5,77.5,100,95,95,100,0,75,75,12,95.8333333333333,88.8888888888889,75,100,67.2,72.9,88.125,80.4878048780488,77.906976744186,94.9074074074074,100,86.2479162727674,"A"
"307",99.5,100,100,90,72.5,100,97,100,98,12,91.6666666666667,100,75,90,56,70.2,98.0625,63.4146341463415,74.4186046511628,93.8888888888889,100,84.7896613253923,"A"
"308",82.5,100,95,80,95,96,100,80,85,12,100,77.7777777777778,85,90,72,76.5,93.3571428571429,87.8048780487805,82.5581395348837,91.6666666666667,100,89.9576533506199,"A"
"309",85,95,85,100,100,98,88,90,85,12,100,50,65,95,64.8,67.5,95.1666666666667,76.8292682926829,70.9302325581395,86.6666666666667,100,84.6484117980715,"B+"
"310",52.5,92.5,97.5,0,91.25,0,0,0,0,10,58.3333333333333,0,0,0,43.2,20.7,83.4375,43.9024390243903,10.4651162790698,58.3333333333333,100,55.1780168746455,"D"
"311",87.5,77.5,100,60,100,89,83,80,80,12,83.3333333333333,77.7777777777778,65,80,59.2,71.55,87.125,68.2926829268293,76.1627906976744,80.3703703703704,100,80.89228981534,"B-"
"312",92.5,100,95,100,100,99,100,85,98,12,100,88.8888888888889,75,95,80,84.15,98.0625,100,92.4418604651163,94.6296296296296,100,96.7236595607235,"A"
"313",47.5,72.5,92.5,95,100,88.5,80,82.5,100,12,75,61.1111111111111,45,100,47.2,62.1,88.875,50,63.953488372093,78.7037037037037,100,74.4564276485788,"C+"
"314",98,94,77.5,90,95,97,100,90,99,12,91.6666666666667,72.2222222222222,55,75,60.8,48.6,95.375,70.7317073170732,46.5116279069767,79.6296296296296,100,76.3311928846033,"B-"
"315",80.5,85,100,90,95,96,86,60,100,12,66.6666666666667,77.7777777777778,75,95,76.8,66.15,91.5625,95.1219512195122,69.1860465116279,82.5925925925926,100,86.1785407606983,"B"
"316",60,0,90,0,0,91,0,47.5,66,11,75,72.2222222222222,30,100,62.4,53.55,70.9,73.1707317073171,52.906976744186,82.4074074074074,100,71.492001638621,"B"
"317",0,50,42.5,80,100,83,71,75,50,12,66.6666666666667,61.1111111111111,55,35,14.4,39.6,68.9375,0,34.8837209302326,60.9259259259259,100,48.541069121447,"C-"
"318",92.5,85,100,70,90,96,100,100,100,11,75,66.6666666666667,45,95,67.2,64.8,95.4375,80.4878048780488,67.4418604651163,78.8888888888889,100,83.4226094252222,"C+"
"319",92.5,100,100,100,100,0,90,100,100,11,91.6666666666667,61.1111111111111,65,80,78.4,75.6,97.8125,97.5609756097561,81.3953488372093,78.8888888888889,100,91.0381156645869,"C+"
"320",87.5,100,97.5,100,90,80,100,80,94,12,75,72.2222222222222,60,75,54.4,53.1,95.5714285714286,60.9756097560976,52.3255813953488,74.0740740740741,100,75.0590569825964,"C"
"321",65,100,90,90,100,99,86,72.5,75,12,100,88.8888888888889,80,95,71.2,72.9,89.0625,86.5853658536585,77.906976744186,94.6296296296296,100,87.7070118012227,"A"
"322",92.5,100,100,100,95,100,86,100,80,12,95.8333333333333,72.2222222222222,60,100,62.4,74.25,96.6875,73.1707317073171,79.6511627906977,89.3518518518518,100,86.9559648169156,"A-"
"323",82.5,100,95,100,0,100,92,100,100,12,58.3333333333333,100,65,80,68.8,63.9,96.1875,82.9268292682927,66.2790697674419,81.6666666666667,100,84.261383295519,"B-"
"324",0,75,67.5,90,80,71,0,50,0,8,83.3333333333333,61.1111111111111,25,35,64,44.55,72.25,75.609756097561,41.2790697674419,59.8148148148148,100,66.0889408835949,"D"
"325",82.5,87.5,85,35,60,95,87,100,85,11,58.3333333333333,94.4444444444444,95,100,71.2,81,85.25,86.5853658536585,88.3720930232558,96.4814814814815,100,89.4573186487679,"A+"
"326",82.5,100,85,90,95,85,90,100,82.5,12,100,55.5555555555556,65,75,46.4,71.1,92.1428571428571,48.780487804878,75.5813953488372,80,100,78.294303541042,"B-"
"327",72.5,100,100,100,100,80,76,85,98,12,91.6666666666667,72.2222222222222,70,100,74.4,80.1,92.375,91.4634146341464,87.2093023255814,87.962962962963,100,91.0019529526691,"B+"
"328",72.5,70,100,90,100,95,97,100,85,12,100,88.8888888888889,75,80,72,75.15,92.4375,87.8048780487805,80.8139534883721,89.6296296296296,100,88.9401584262936,"A-"
"329",0,0,0,10,0,0,53.5,70,32,9,33.3333333333333,0,55,45,32.8,56.7,41.375,28.0487804878049,56.9767441860465,44.4444444444444,100,48.9331088107393,"F"
"330",88.5,99,0,0,85,0,0,85,85,12,75,50,80,70,57.6,50.85,88.5,65.8536585365854,49.4186046511628,75,100,73.3253828701078,"C"
"331",95,95,100,100,95,99,100,100,100,12,91.6666666666667,88.8888888888889,65,100,65.6,81,99.8333333333333,78.0487804878049,88.3720930232558,93.5185185185185,100,91.6805571311527,"A"
"332",72.5,92.5,100,90,95,89,83,95,100,12,91.6666666666667,22.2222222222222,60,75,60.8,57.15,93.0625,70.7317073170732,57.5581395348837,75.5555555555556,100,77.7879596804689,"C"
"333",100,85,100,100,100,99,97,85,95,12,100,100,100,100,80,89.1,98.7142857142857,100,98.8372093023256,100,100,99.3235880398671,NA
"334",92.5,75,100,100,96.25,96,100,90,100,12,75,88.8888888888889,70,90,61.6,74.7,96.84375,71.9512195121951,80.2325581395349,84.6296296296296,100,86.1959528817672,"B"
